날짜,15:30 종가,02:00 종가
2024-06-10,1376.0,
2024-06-11,1378.4,
2024-06-12,1376.2,
2024-06-13,1373.9,
2024-06-14,1379.3,
2024-06-17,1381.2,
2024-06-18,1381.1,
2024-06-19,1381.8,
2024-06-20,1384.7,
2024-06-21,1388.3,
2024-06-24,1389.0,
2024-06-25,1387.5,
2024-06-26,1388.7,
2024-06-27,1385.8,
2024-06-28,1376.7,
2024-07-01,1379.3,1383.8
2024-07-02,1388.2,1386.9
2024-07-03,1390.6,1385.8
2024-07-04,1380.4,1381.0
2024-07-05,1380.3,1381.4
2024-07-08,1383.3,1383.1
2024-07-09,1381.6,1383.5
2024-07-10,1384.7,1384.0
2024-07-11,1378.8,1373.0
2024-07-12,1379.6,1375.7
2024-07-15,1382.8,1383.2
2024-07-16,1384.9,1385.0
2024-07-17,1381.5,1381.3
2024-07-18,1381.7,1383.4
2024-07-19,1386.7,1390.2
2024-07-22,1388.2,1388.2
2024-07-23,1386.2,1386.1
2024-07-24,1383.8,1379.9
2024-07-25,1385.4,1383.0
2024-07-26,1385.8,1384.0
2024-07-29,1381.9,1383.7
2024-07-30,1385.3,1384.6
2024-07-31,1376.5,1370.2
2024-08-01,1366.2,1369.8
2024-08-02,1371.2,1361.5
2024-08-05,1374.8,1370.0
2024-08-06,1375.6,1377.6
2024-08-07,1376.8,1374.0
2024-08-08,1377.2,1377.2
2024-08-09,1364.6,1365.3
2024-08-12,1372.0,1369.6
2024-08-13,1370.4,1366.5
2024-08-14,1360.6,1358.0
2024-08-16,1357.6,1351.3
2024-08-19,1334.0,1334.8
2024-08-20,1333.2,1331.5
2024-08-21,1336.6,1333.8
2024-08-22,1334.7,1343.5
2024-08-23,1338.8,1328.0
2024-08-26,1326.8,1329.8
2024-08-27,1331.0,1331.5
2024-08-28,1339.0,1337.0
2024-08-29,1333.2,1332.5
2024-08-30,1336.0,1337.5
2024-09-02,1338.4,1338.5
2024-09-03,1341.4,1341.4
2024-09-04,1342.2,1336.0
2024-09-05,1335.9,1333.5
2024-09-06,1327.6,1339.9
2024-09-09,1339.8,1341.0
2024-09-10,1343.7,1343.8
2024-09-11,1339.0,1341.5
2024-09-12,1338.7,1341.6
2024-09-13,1329.5,1329.6
2024-09-19,1329.0,1329.2
